,№ п/п,KKS-код параметра,Наименование параметра,Наименование сигнала,Вид сигнала,min,max,Ед. изм.,Участие в задачах,Примечание
581,310,,Затвор дисковый К-11 на входе котловой воды в ВК-6,,превышение момента на закрытие,,,,ДУ,
582,311,,Затвор дисковый К-11 на входе котловой воды в ВК-6,,Дистанционный режим работы,,,,ДУ,
585,314,,Затвор дисковый К-11 на входе котловой воды в ВК-6,,Автоматический выключатель отключен,,,,ПС,
586,315,,Затвор дисковый РК. КА6 регулятор расхода воды через ВК-6,,Не открыто,,,,ДУ,
587,316,,Затвор дисковый РК. КА6 регулятор расхода воды через ВК-6,,Не закрыто,,,,ДУ,
588,317,,Затвор дисковый РК. КА6 регулятор расхода воды через ВК-6,,превышение момента,,,,ДУ,
589,318,,Затвор дисковый РК. КА6 регулятор расхода воды через ВК-6,,Неисправность,,,,ДУ,
590,319,,Затвор дисковый РК. КА6 регулятор расхода воды через ВК-6,,Готовность,,,,ДУ,
591,320,,Затвор дисковый РК. КА6 регулятор расхода воды через ВК-6,,Автоматический выключатель отключен,,,,ПС,
592,321,,Затвор дисковый К-12 на выходе котловой воды из ВК-6,,Не открыто,,,,ДУ,
593,322,,Затвор дисковый К-12 на выходе котловой воды из ВК-6,,Не закрыто,,,,ДУ,
594,323,,Затвор дисковый К-12 на выходе котловой воды из ВК-6,,превышение момента на открытие,,,,ДУ,
595,324,,Затвор дисковый К-12 на выходе котловой воды из ВК-6,,превышение момента на закрытие,,,,ДУ,
596,325,,Затвор дисковый К-12 на выходе котловой воды из ВК-6,,Дистанционный режим работы,,,,ДУ,
599,328,,Затвор дисковый К-12 на выходе котловой воды из ВК-6,,Автоматический выключатель отключен,,,,ПС,
600,329,,Затвор дисковый К-13 на входе котловой воды в ВК-7,,Не открыто,,,,ДУ,
601,330,,Затвор дисковый К-13 на входе котловой воды в ВК-7,,Не закрыто,,,,ДУ,
602,331,,Затвор дисковый К-13 на входе котловой воды в ВК-7,,превышение момента на открытие,,,,ДУ,
603,332,,Затвор дисковый К-13 на входе котловой воды в ВК-7,,превышение момента на закрытие,,,,ДУ,
604,333,,Затвор дисковый К-13 на входе котловой воды в ВК-7,,Дистанционный режим работы,,,,ДУ,
607,336,,Затвор дисковый К-13 на входе котловой воды в ВК-7,,Автоматический выключатель отключен,,,,ПС,
608,337,,Затвор дисковый РК. КА7 регулятор расхода воды через ВК-7,,Не открыто,,,,ДУ,
609,338,,Затвор дисковый РК. КА7 регулятор расхода воды через ВК-7,,Не закрыто,,,,ДУ,
610,339,,Затвор дисковый РК. КА7 регулятор расхода воды через ВК-7,,превышение момента,,,,ДУ,
611,340,,Затвор дисковый РК. КА7 регулятор расхода воды через ВК-7,,Неисправность,,,,ДУ,
612,341,,Затвор дисковый РК. КА7 регулятор расхода воды через ВК-7,,Готовность,,,,ДУ,
613,342,,Затвор дисковый РК. КА7 регулятор расхода воды через ВК-7,,Автоматический выключатель отключен,,,,ПС,
614,343,,Затвор дисковый К-14 на выходе котловой воды из ВК-7,,Не открыто,,,,ДУ,
615,344,,Затвор дисковый К-14 на выходе котловой воды из ВК-7,,Не закрыто,,,,ДУ,
616,345,,Затвор дисковый К-14 на выходе котловой воды из ВК-7,,превышение момента на открытие,,,,ДУ,
617,346,,Затвор дисковый К-14 на выходе котловой воды из ВК-7,,превышение момента на закрытие,,,,ДУ,
618,347,,Затвор дисковый К-14 на выходе котловой воды из ВК-7,,Дистанционный режим работы,,,,ДУ,
621,350,,Затвор дисковый К-14 на выходе котловой воды из ВК-7,,Автоматический выключатель отключен,,,,ПС,
622,351,,Затвор дисковый К-15 на входе котловой воды в ВК-8,,Не открыто,,,,ДУ,
623,352,,Затвор дисковый К-15 на входе котловой воды в ВК-8,,Не закрыто,,,,ДУ,
624,353,,Затвор дисковый К-15 на входе котловой воды в ВК-8,,превышение момента на открытие,,,,ДУ,
625,354,,Затвор дисковый К-15 на входе котловой воды в ВК-8,,превышение момента на закрытие,,,,ДУ,
626,355,,Затвор дисковый К-15 на входе котловой воды в ВК-8,,Дистанционный режим работы,,,,ДУ,
629,358,,Затвор дисковый К-15 на входе котловой воды в ВК-8,,Автоматический выключатель отключен,,,,ПС,
630,359,,Затвор дисковый РК. КА8 регулятор расхода воды через ВК-8,,Не открыто,,,,ДУ,
631,360,,Затвор дисковый РК. КА8 регулятор расхода воды через ВК-8,,Не закрыто,,,,ДУ,
632,361,,Затвор дисковый РК. КА8 регулятор расхода воды через ВК-8,,превышение момента,,,,ДУ,
633,362,,Затвор дисковый РК. КА8 регулятор расхода воды через ВК-8,,Неисправность,,,,ДУ,
634,363,,Затвор дисковый РК. КА8 регулятор расхода воды через ВК-8,,Готовность,,,,ДУ,
635,364,,Затвор дисковый РК. КА8 регулятор расхода воды через ВК-8,,Автоматический выключатель отключен,,,,ПС,
636,365,,Затвор дисковый К-16 на выходе котловой воды из ВК-8,,Не открыто,,,,ДУ,
637,366,,Затвор дисковый К-16 на выходе котловой воды из ВК-8,,Не закрыто,,,,ДУ,
638,367,,Затвор дисковый К-16 на выходе котловой воды из ВК-8,,превышение момента на открытие,,,,ДУ,
639,368,,Затвор дисковый К-16 на выходе котловой воды из ВК-8,,превышение момента на закрытие,,,,ДУ,
640,369,,Затвор дисковый К-16 на выходе котловой воды из ВК-8,,Дистанционный режим работы,,,,ДУ,
643,372,,Затвор дисковый К-16 на выходе котловой воды из ВК-8,,Автоматический выключатель отключен,,,,ПС,
644,373,,"Датчик ""сухого хода"" на напоре НКП- 1",,сработал,,,,ФГУ,замыкается при понижении
645,374,,"Датчик ""сухого хода"" на напоре НКП- 1",,сработал,,,,ФГУ,замыкается при понижении
646,375,,Шкаф ввода Ш-1 сборки задвижек,,Неисправность,,,,ПС,
647,376,,Клапан регулирующий до теплообменников по сети Т21 РТ- 70,,Открыто,,,,"АР,ДУ",
648,377,,Клапан регулирующий до теплообменников по сети Т21 РТ- 70,,Закрыто,,,,"АР,ДУ",
649,378,,Клапан регулирующий до теплообменников по сети Т21 РТ- 70,,Автоматический выключатель отключен,,,,ПС,
650,379,F0GCN01AA001,Кран запорный бака раствора щелочи 9Д,,,,,,ДУ,
651,380,F0GCN01AA001,Кран запорный бака раствора щелочи 9Д,,,,,,ДУ,
652,381,F0GCN01AA001,Кран запорный бака раствора щелочи 9Д,,,,,,ДУ,
655,384,F0GCN01AA001,Кран запорный бака раствора щелочи 9Д,,,,,,ПС,
656,385,F0NDF24AA801,Клапан регулирующий К5 по сети Т1 до теплообменника К1 отопления и ГВС,,,,,,"АР,ДУ",
657,386,F0NDF24AA801,Клапан регулирующий К5 по сети Т1 до теплообменника К1 отопления и ГВС,,,,,,"АР,ДУ",
658,387,F0NDF24AA801,Клапан регулирующий К5 по сети Т1 до теплообменника К1 отопления и ГВС,,,,,,ПС,
659,385,F0NDF24AA802,Клапан регулирующий К5а по сети Т1 до теплообменника К1 отопления и ГВС,,,,,,"АР,ДУ",
660,386,F0NDF24AA802,Клапан регулирующий К5а по сети Т1 до теплообменника К1 отопления и ГВС,,,,,,"АР,ДУ",
661,387,F0NDF24AA802,Клапан регулирующий К5а по сети Т1 до теплообменника К1 отопления и ГВС,,,,,,ПС,
662,388,F0NDF24AA803,Клапан регулирующий К6 по сети Т1 до теплообменника К2 вентиляции,,,,,,"АР,ДУ",
663,389,F0NDF24AA803,Клапан регулирующий К6 по сети Т1 до теплообменника К2 вентиляции,,,,,,"АР,ДУ",
664,390,F0NDF24AA803,Клапан регулирующий К6 по сети Т1 до теплообменника К2 вентиляции,,,,,,ПС,
665,391,F0NDG24AA001,Клапан электромагнитный К7 по сети Т94 подпитки контура отопления и ГВС,,,,,,ПС,
666,392,F0SAH21AA001,Клапан электромагнитный К13 на линии заполнения теплоносителя по сети Т21 системы вентиляции,,,,,,ПС,
667,1,,Регулирующий клапан РТ-1 на трубопроводе байпаса насосов,,Больше,,,,"АР,ДУ",
668,2,,Регулирующий клапан РТ-1 на трубопроводе байпаса насосов,,Меньше,,,,"АР,ДУ",
669,3,F0CUB01GU001,Пуск насоса НСВ,,"RS485, Modbus RTU",,,,"ТБ,ДУ",
670,4,F0CUB01GU001,Стоп насоса НСВ,,"RS485, Modbus RTU",,,,"ТЗ,ДУ",
671,5,,Регулятор производительности ХВО РД-3,,Больше,,,,"АР,ДУ",
672,6,,Регулятор производительности ХВО РД-3,,Меньше,,,,"АР,ДУ",
673,7,,Регулятор температуры сырой воды РТ-4,,Больше,,,,"АР,ДУ",
674,8,,Регулятор температуры сырой воды РТ-4,,Меньше,,,,"АР,ДУ",
675,9,,Регулятор температуры умягченной воды РТ-71,,Больше,,,,"АР,ДУ",
676,10,,Регулятор температуры умягченной воды РТ-71,,Меньше,,,,"АР,ДУ",
677,11,,Регулятор температуры в баке- газоотделителе Р-66,,Больше,,,,"АР,ДУ",
678,12,,Регулятор температуры в баке- газоотделителе Р-66,,Меньше,,,,"АР,ДУ",
679,13,,Регулятор уровня в баке- газоотделителе РТ-68,,Больше,,,,"АР,ДУ",
680,14,,Регулятор уровня в баке- газоотделителе РТ-68,,Меньше,,,,"АР,ДУ",
681,15,,Регулятор давления рабочей воды на эжектора РД-5,,Больше,,,,"АР,ДУ",
682,16,,Регулятор давления рабочей воды на эжектора РД-5,,Меньше,,,,"АР,ДУ",
683,17,F0CUB02GU001,Пуск насоса НРВ,,"RS485, Modbus RTU",,,,"ТБ,ДУ",
684,18,F0CUB02GU001,Стоп насоса НРВ,,"RS485, Modbus RTU",,,,"ТЗ,ДУ",
685,19,F0GDH11AA001,Задвижка на линии аварийного слива РК.КА9,,,,,,ДУ,
686,20,F0GDH11AA001,Задвижка на линии аварийного слива РК.КА9,,,,,,ДУ,
687,21,F0GDH11AA001,Задвижка на линии аварийного слива РК.КА9,,,,,,ДУ,н.з.контакт
688,22,,Регулятор расхода сырой воды на охладитель выпара РД-2,,Больше,,,,"АР,ДУ",
689,23,,Регулятор расхода сырой воды на охладитель выпара РД-2,,Меньше,,,,"АР,ДУ",
690,24,,Регулятор уровня в вакуумном деаэраторе РТ-63,,Больше,,,,"АР,ДУ",
691,25,,Регулятор уровня в вакуумном деаэраторе РТ-63,,Меньше,,,,"АР,ДУ",
692,26,,Регулятор температуры ХОВ на вакуумный деаэратор РТ-59,,Больше,,,,"АР,ДУ",
693,27,,Регулятор температуры ХОВ на вакуумный деаэратор РТ-59,,Меньше,,,,"АР,ДУ",
694,28,F0CUB03GU001,Пуск насоса НРВ,,"RS485, Modbus RTU",,,,"ТБ,ДУ",
695,29,F0CUB03GU001,Стоп насоса НРВ,,"RS485, Modbus RTU",,,,"ТЗ,ДУ",
696,30,,Затвор дисковый К-27 на входе насосной группы №1,,Открыть,,,,ДУ,
697,31,,Затвор дисковый К-27 на входе насосной группы №1,,Закрыть,,,,ДУ,
698,32,,Затвор дисковый К-27 на входе насосной группы №1,,Стоп,,,,ДУ,н.з.контакт
699,33,,Затвор дисковый К-26 на входе насосной группы №2,,Открыть,,,,ДУ,
700,34,,Затвор дисковый К-26 на входе насосной группы №2,,Закрыть,,,,ДУ,
701,35,,Затвор дисковый К-26 на входе насосной группы №2,,Стоп,,,,ДУ,н.з.контакт
702,36,,Затвор дисковый К-37 на выходе насосной группы №1,,Открыть,,,,ДУ,
703,37,,Затвор дисковый К-37 на выходе насосной группы №1,,Закрыть,,,,ДУ,
704,38,,Затвор дисковый К-37 на выходе насосной группы №1,,Стоп,,,,ДУ,н.з.контакт
705,39,,Затвор дисковый К-36 на выходе насосной группы №2,,Открыть,,,,ДУ,
706,40,,Затвор дисковый К-36 на выходе насосной группы №2,,Закрыть,,,,ДУ,
707,41,,Затвор дисковый К-36 на выходе насосной группы №2,,Стоп,,,,ДУ,н.з.контакт
708,42,,Затвор дисковый К-34 на всасе котлового насоса №1,,Открыть,,,,ДУ,
709,43,,Затвор дисковый К-34 на всасе котлового насоса №1,,Закрыть,,,,ДУ,
710,44,,Затвор дисковый К-34 на всасе котлового насоса №1,,Стоп,,,,ДУ,н.з.контакт
711,45,,Затвор дисковый К-35 на напоре котлового насоса №1,,Открыть,,,,"ДУ,ФГУ",
712,46,,Затвор дисковый К-35 на напоре котлового насоса №1,,Закрыть,,,,"ДУ,ФГУ",
713,47,,Затвор дисковый К-35 на напоре котлового насоса №1,,Стоп,,,,"ДУ,ФГУ",н.з.контакт
714,48,,Затвор дисковый К-32 на всасе котлового насоса №2,,Открыть,,,,ДУ,
715,49,,Затвор дисковый К-32 на всасе котлового насоса №2,,Закрыть,,,,ДУ,
716,50,,Затвор дисковый К-32 на всасе котлового насоса №2,,Стоп,,,,ДУ,н.з.контакт
717,51,,Затвор дисковый К-33 на напоре котлового насоса №2,,Открыть,,,,"ДУ,ФГУ",
718,52,,Затвор дисковый К-33 на напоре котлового насоса №2,,Закрыть,,,,"ДУ,ФГУ",
719,53,,Затвор дисковый К-33 на напоре котлового насоса №2,,Стоп,,,,"ДУ,ФГУ",н.з.контакт
720,54,,Затвор дисковый К-30 на всасе котлового насоса №3,,Открыть,,,,ДУ,
721,55,,Затвор дисковый К-30 на всасе котлового насоса №3,,Закрыть,,,,ДУ,
722,56,,Затвор дисковый К-30 на всасе котлового насоса №3,,Стоп,,,,ДУ,н.з.контакт
723,57,,Затвор дисковый К-31 на напоре котлового насоса №3,,Открыть,,,,"ДУ,ФГУ",
724,58,,Затвор дисковый К-31 на напоре котлового насоса №3,,Закрыть,,,,"ДУ,ФГУ",
725,59,,Затвор дисковый К-31 на напоре котлового насоса №3,,Стоп,,,,"ДУ,ФГУ",н.з.контакт
726,60,,Затвор дисковый К-28 на всасе котлового насоса №4,,Открыть,,,,ДУ,
727,61,,Затвор дисковый К-28 на всасе котлового насоса №4,,Закрыть,,,,ДУ,
728,62,,Затвор дисковый К-28 на всасе котлового насоса №4,,Стоп,,,,ДУ,н.з.контакт
729,63,,Затвор дисковый К-29 на напоре котлового насоса №4,,Открыть,,,,"ДУ,ФГУ",
730,64,,Затвор дисковый К-29 на напоре котлового насоса №4,,Закрыть,,,,"ДУ,ФГУ",
731,65,,Затвор дисковый К-29 на напоре котлового насоса №4,,Стоп,,,,"ДУ,ФГУ",н.з.контакт
732,66,F0CUB04GU001,Пуск котлового насоса,,"RS485, Modbus RTU",,,,"ТБ,ДУ",
733,67,F0CUB04GU001,Стоп котлового насоса,,"RS485, Modbus RTU",,,,"ТЗ,ДУ",
734,68,,Затвор дисковый секционирующий К-1С на коллекторе обратной котловой воды,,Открыть,,,,ДУ,
735,69,,Затвор дисковый секционирующий К-1С на коллекторе обратной котловой воды,,Закрыть,,,,ДУ,
736,70,,Затвор дисковый секционирующий К-1С на коллекторе обратной котловой воды,,Стоп,,,,ДУ,н.з.контакт
737,71,,Регулятор температуры обратной котловой воды Ду200 РТ-об1,,Больше,,,,"АР,ДУ",
738,72,,Регулятор температуры обратной котловой воды Ду200 РТ-об1,,Меньше,,,,"АР,ДУ",
739,73,,Регулятор температуры обратной котловой воды Ду400 РТ-об2,,Больше,,,,"АР,ДУ",
740,74,,Регулятор температуры обратной котловой воды Ду400 РТ-об2,,Меньше,,,,"АР,ДУ",
741,75,,Регулятор давления обратной котловой воды РД-К,,Больше,,,,"АР,ДУ",
742,76,,Регулятор давления обратной котловой воды РД-К,,Меньше,,,,"АР,ДУ",
743,77,F0CUB05GU001,Пуск насоса подпитки котлового насоса,,"RS485, Modbus RTU",,,,"ТБ,ДУ",
744,78,F0CUB05GU001,Стоп насоса подпитки котлового насоса,,"RS485, Modbus RTU",,,,"ТЗ,ДУ",
745,79,,Затвор дисковый секционирующий К-2С на коллекторе прямой котловой воды,,Открыть,,,,ДУ,
746,80,,Затвор дисковый секционирующий К-2С на коллекторе прямой котловой воды,,Закрыть,,,,ДУ,
747,81,,Затвор дисковый секционирующий К-2С на коллекторе прямой котловой воды,,Стоп,,,,ДУ,н.з.контакт
748,82,,Затвор дисковый К-1 на входе котловой воды в ВК-1,,Открыть,,,,ДУ,
749,83,,Затвор дисковый К-1 на входе котловой воды в ВК-1,,Закрыть,,,,ДУ,
750,84,,Затвор дисковый К-1 на входе котловой воды в ВК-1,,Стоп,,,,ДУ,н.з.контакт
751,85,,Затвор дисковый РК. КА1 регулятор расхода воды через ВК-1,,Больше,,,,"АР,ДУ",
752,86,,Затвор дисковый РК. КА1 регулятор расхода воды через ВК-1,,Меньше,,,,"АР,ДУ",
753,87,,Затвор дисковый К-2 на выходе котловой воды из ВК-1,,Открыть,,,,ДУ,
754,88,,Затвор дисковый К-2 на выходе котловой воды из ВК-1,,Закрыть,,,,ДУ,
755,89,,Затвор дисковый К-2 на выходе котловой воды из ВК-1,,Стоп,,,,ДУ,н.з.контакт
756,90,,Затвор дисковый К-3 на входе котловой воды в ВК-2,,Открыть,,,,ДУ,
757,91,,Затвор дисковый К-3 на входе котловой воды в ВК-2,,Закрыть,,,,ДУ,
758,92,,Затвор дисковый К-3 на входе котловой воды в ВК-2,,Стоп,,,,ДУ,н.з.контакт
759,93,,Затвор дисковый РК. КА2 регулятор расхода воды через ВК-2,,Больше,,,,"АР,ДУ",
760,94,,Затвор дисковый РК. КА2 регулятор расхода воды через ВК-2,,Меньше,,,,"АР,ДУ",
761,95,,Затвор дисковый К-4 на выходе котловой воды из ВК-2,,Открыть,,,,ДУ,
762,96,,Затвор дисковый К-4 на выходе котловой воды из ВК-2,,Закрыть,,,,ДУ,
763,97,,Затвор дисковый К-4 на выходе котловой воды из ВК-2,,Стоп,,,,ДУ,н.з.контакт
764,98,,Затвор дисковый К-5 на входе котловой воды в ВК-3,,Открыть,,,,ДУ,
765,99,,Затвор дисковый К-5 на входе котловой воды в ВК-3,,Закрыть,,,,ДУ,
766,100,,Затвор дисковый К-5 на входе котловой воды в ВК-3,,Стоп,,,,ДУ,н.з.контакт
767,101,,Затвор дисковый РК. КА3 регулятор расхода воды через ВК-3,,Больше,,,,"АР,ДУ",
768,102,,Затвор дисковый РК. КА3 регулятор расхода воды через ВК-3,,Меньше,,,,"АР,ДУ",
769,103,,Затвор дисковый К-6 на выходе котловой воды из ВК-3,,Открыть,,,,ДУ,
770,104,,Затвор дисковый К-6 на выходе котловой воды из ВК-3,,Закрыть,,,,ДУ,
771,105,,Затвор дисковый К-6 на выходе котловой воды из ВК-3,,Стоп,,,,ДУ,н.з.контакт
772,106,,Затвор дисковый К-7 на входе котловой воды в ВК-4,,Открыть,,,,ДУ,
773,107,,Затвор дисковый К-7 на входе котловой воды в ВК-4,,Закрыть,,,,ДУ,
774,108,,Затвор дисковый К-7 на входе котловой воды в ВК-4,,Стоп,,,,ДУ,н.з.контакт
775,109,,Затвор дисковый РК. КА4 регулятор расхода воды через ВК-4,,Больше,,,,"АР,ДУ",
776,110,,Затвор дисковый РК. КА4 регулятор расхода воды через ВК-4,,Меньше,,,,"АР,ДУ",
777,111,,Затвор дисковый К-8 на выходе котловой воды из ВК-4,,Открыть,,,,ДУ,
778,112,,Затвор дисковый К-8 на выходе котловой воды из ВК-4,,Закрыть,,,,ДУ,
779,113,,Затвор дисковый К-8 на выходе котловой воды из ВК-4,,Стоп,,,,ДУ,н.з.контакт
780,114,,Затвор дисковый К-9 на входе котловой воды в ВК-5,,Открыть,,,,ДУ,
781,115,,Затвор дисковый К-9 на входе котловой воды в ВК-5,,Закрыть,,,,ДУ,
782,116,,Затвор дисковый К-9 на входе котловой воды в ВК-5,,Стоп,,,,ДУ,н.з.контакт
783,117,,Затвор дисковый РК. КА5 регулятор расхода воды через ВК-5,,Больше,,,,"АР,ДУ",
784,118,,Затвор дисковый РК. КА5 регулятор расхода воды через ВК-5,,Меньше,,,,"АР,ДУ",
785,119,,Затвор дисковый К-10 на выходе котловой воды из ВК-5,,Открыть,,,,ДУ,
786,120,,Затвор дисковый К-10 на выходе котловой воды из ВК-5,,Закрыть,,,,ДУ,
787,121,,Затвор дисковый К-10 на выходе котловой воды из ВК-5,,Стоп,,,,ДУ,н.з.контакт
788,122,,Затвор дисковый К-11 на входе котловой воды в ВК-6,,Открыть,,,,ДУ,
789,123,,Затвор дисковый К-11 на входе котловой воды в ВК-6,,Закрыть,,,,ДУ,
790,124,,Затвор дисковый К-11 на входе котловой воды в ВК-6,,Стоп,,,,ДУ,н.з.контакт
791,125,,Затвор дисковый РК. КА6 регулятор расхода воды через ВК-6,,Больше,,,,"АР,ДУ",
792,126,,Затвор дисковый РК. КА6 регулятор расхода воды через ВК-6,,Меньше,,,,"АР,ДУ",
793,127,,Затвор дисковый К-12 на выходе котловой воды из ВК-6,,Открыть,,,,ДУ,
794,128,,Затвор дисковый К-12 на выходе котловой воды из ВК-6,,Закрыть,,,,ДУ,
795,129,,Затвор дисковый К-12 на выходе котловой воды из ВК-6,,Стоп,,,,ДУ,н.з.контакт
796,130,,Затвор дисковый К-13 на входе котловой воды в ВК-7,,Открыть,,,,ДУ,
797,131,,Затвор дисковый К-13 на входе котловой воды в ВК-7,,Закрыть,,,,ДУ,
798,132,,Затвор дисковый К-13 на входе котловой воды в ВК-7,,Стоп,,,,ДУ,н.з.контакт
799,133,,Затвор дисковый РК. КА7 регулятор расхода воды через ВК-7,,Больше,,,,"АР,ДУ",
800,134,,Затвор дисковый РК. КА7 регулятор расхода воды через ВК-7,,Меньше,,,,"АР,ДУ",
801,135,,Затвор дисковый К-14 на выходе котловой воды из ВК-7,,Открыть,,,,ДУ,
802,136,,Затвор дисковый К-14 на выходе котловой воды из ВК-7,,Закрыть,,,,ДУ,
803,137,,Затвор дисковый К-14 на выходе котловой воды из ВК-7,,Стоп,,,,ДУ,н.з.контакт
804,138,,Затвор дисковый К-15 на входе котловой воды в ВК-8,,Открыть,,,,ДУ,
805,139,,Затвор дисковый К-15 на входе котловой воды в ВК-8,,Закрыть,,,,ДУ,
806,140,,Затвор дисковый К-15 на входе котловой воды в ВК-8,,Стоп,,,,ДУ,н.з.контакт
807,141,,Затвор дисковый РК. КА8 регулятор расхода воды через ВК-8,,Больше,,,,"АР,ДУ",
808,142,,Затвор дисковый РК. КА8 регулятор расхода воды через ВК-8,,Меньше,,,,"АР,ДУ",
809,143,,Затвор дисковый К-16 на выходе котловой воды из ВК-8,,Открыть,,,,ДУ,
810,144,,Затвор дисковый К-16 на выходе котловой воды из ВК-8,,Закрыть,,,,ДУ,
811,145,,Затвор дисковый К-16 на выходе котловой воды из ВК-8,,Стоп,,,,ДУ,н.з.контакт
812,146,,Клапан регулирующий до теплообменников по сети Т21 РТ- 70,,Больше,,,,"АР,ДУ",
813,147,,Клапан регулирующий до теплообменников по сети Т21 РТ- 70,,Меньше,,,,"АР,ДУ",
814,148,F0GCN01AA001,Кран запорный бака раствора щелочи 9Д,,,,,,ДУ,
815,149,F0GCN01AA001,Кран запорный бака раствора щелочи 9Д,,,,,,ДУ,
816,150,F0GCN01AA001,Кран запорный бака раствора щелочи 9Д,,,,,,ДУ,н.з.контакт
817,151,F0NDF24AA801,Клапан регулирующий К5 по сети Т1 до теплообменника К1 отопления и ГВС,,,,,,"АР,ДУ",
818,152,F0NDF24AA801,Клапан регулирующий К5 по сети Т1 до теплообменника К1 отопления и ГВС,,,,,,"АР,ДУ",
819,153,F0NDF24AA802,Клапан регулирующий К5а по сети Т1 до теплообменника К1 отопления и ГВС,,,,,,"АР,ДУ",
820,154,F0NDF24AA802,Клапан регулирующий К5а по сети Т1 до теплообменника К1 отопления и ГВС,,,,,,"АР,ДУ",
821,155,F0NDF24AA803,Клапан регулирующий К6 по сети Т1 до теплообменника К2 вентиляции,,,,,,"АР,ДУ",
822,156,F0NDF24AA803,Клапан регулирующий К6 по сети Т1 до теплообменника К2 вентиляции,,,,,,"АР,ДУ",
823,157,F0NDG24AA001,Клапан электромагнитный К7 по сети Т94 подпитки контура отопления и ГВС,,,,,,,
824,158,F0SAH21AA001,Клапан электромагнитный К13 на линии заполнения теплоносителя по сети Т21 системы вентиляции,,,,,,,
