"2
",,,,перечень сигналов ивановская тэц-2,,2135,,1044,508,580,3,965,75,KKS параметра,Питание датчика,KKS механизма,min,max,Ед.изм,"Участие
в задачах",Примечание
,,,,газовый клапан №2 закрыт,цифровой,входящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,давление  между  газовыми  клапанами горелки №1,цифровой,входящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,горелка №1 в работе,цифровой,входящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,задание мощности на горелку №1,цифровой,исходящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,работа горелки №1,цифровой,входящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,авария горелки №1 – останов котла,цифровой,входящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,наличие факела горелки №1,цифровой,входящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,давление  газа  перед  горелкой  №1  - минимально,цифровой,входящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,давление  газа  перед  горелкой  №1 максимально,цифровой,входящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,давление воздуха перед горелкой  №1 минимально,цифровой,входящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,давление   газа   перед   регулятором нагрузки горелки №1,цифровой,входящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,давление воздуха перед горелкой №1,цифровой,входящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,старт горелки №2,цифровой,исходящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,давление  воздуха  перед  запальником горелки №2 - минимально,цифровой,входящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,наличие  факела  запальника  горелки №2,цифровой,входящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,открыть газовый клапан №1,цифровой,исходящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,газовый клапан №1 открыт,цифровой,входящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,закрыть газовый клапан №1,цифровой,исходящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,газовый клапан №1 закрыт,цифровой,входящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,открыть газовый клапан №2,цифровой,исходящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,газовый клапан №2 открыт,цифровой,входящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,закрыть газовый клапан №2,цифровой,исходящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,газовый клапан №2 закрыт,цифровой,входящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,давление  между  газовыми  клапанами горелки №2,цифровой,входящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,горелка №2 в работе,цифровой,входящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,задание мощности на горелку №2,цифровой,исходящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,работа горелки №2,цифровой,входящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,авария горелки №2 – останов котла,цифровой,входящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,наличие факела горелки №2,цифровой,входящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,давление  газа  перед  горелкой  №2  - минимально,цифровой,входящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,давление  газа  перед  горелкой  №2 максимально,цифровой,входящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,давление воздуха перед горелкой №2 минимально,цифровой,входящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,давление   газа   перед   регулятором нагрузки горелки №2,цифровой,входящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,давление воздуха перед горелкой №2,цифровой,входящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,,отключение всех дв – останов котла,цифровой,исходящий,Eth MODBUS TCP,,,,,1,,,,,,,,,
,,,Заслонка регулирующая газа котла,Положение ИМ,аналоговый,входящий,4-20мА,,,1,,,0,F8HHG20CG801,,F8HHG20AA801,0,100,%,"АР,Р",
,,,,Не открыто,дискретный,входящий,=24В,1,,,,,0,F8HHG20AA801XB51,,,,,,"АР,ДУ",
,,,,Не закрыто,дискретный,входящий,=24В,1,,,,,0,F8HHG20AA801XB52,,,,,,"АР,ДУ",
,,,,Неисправность,дискретный,входящий,=24В,1,,,,,0,F8HHG20AA801XC03,,,,,,ПС,
,,,,Готовность,дискретный,входящий,=24В,1,,,,,0,F8HHG20AA801XC04,,,,,,"АР,ДУ",
,,,,Автоматический выключатель отключен,дискретный,входящий,=24В,1,,,,,0,F8HHG20AA801XM01,,,,,,ПС,
,,,,Больше,дискретный,исходящий,=24В,,1,,,,0,F8HHG20AA801YC01,,,,,,"АР,ДУ",
,,,,Меньше,дискретный,исходящий,=24В,,1,,,,0,F8HHG20AA801YC02,,,,,,"АР,ДУ",
,,,Затвор продувной свечи газа котла,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F8HHG20AA201XB51,,F8HHG20AA201,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F8HHG20AA201XB52,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F8HHG20AA201XM01,,,,,,ПС,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,F8HHG20AA201XL01,,,,,,ДУ,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F8HHG20AA201YB01,,,,,,ДУ,
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F8HHG20AA201YB02,,,,,,ДУ,
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F8HHG20AA201YB03,,,,,,ДУ,
,,,Затвор дисковый К-15 на входе котловой воды в ВК-8,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F8NDG10AA001XB51,,F8NDG10AA001,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F8NDG10AA001XB52,,,,,,ДУ,
,,,,Превышение момента на открытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F8NDG10AA001XB05,,,,,,ДУ,
,,,,Превышение момента на закрытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F8NDG10AA001XB06,,,,,,ДУ,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,F8NDG10AA001XL01,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F8NDG10AA001XM01,,,,,,ПС,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F8NDG10AA001YB01,,,,,,ДУ,
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F8NDG10AA001YB02,,,,,,ДУ,
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F8NDG10AA001YB03,,,,,,ДУ,н.з.контакт
,,,Затвор дисковый РК.КА8 регулятор расхода воды через ВК-8,Положение ИМ,аналоговый,входящий,4-20мА,,,1,,,0,F8NDG10CG801,-,F1NDG10AA801,0,100,%,"АР,ДУ",
,,,,Не открыто,дискретный,входящий,=24В,1,,,,,0,F8NDG10AA801XC51,,,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,=24В,1,,,,,0,F8NDG10AA801XC52,,,,,,ДУ,
,,,,Превышение момента,дискретный,входящий,=24В,1,,,,,0,F8NDG10AA801XC04,,,,,,ДУ,
,,,,Неисправность,дискретный,входящий,=24В,1,,,,,0,F8NDG10AA801XC57,,,,,,ДУ,
,,,,Готовность,дискретный,входящий,=24В,1,,,,,0,F8NDG10AA801XC10,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,=24В,1,,,,,0,F8NDG10AA801XM01,,,,,,ПС,
,,,,Больше,дискретный,исходящий,=24В,,1,,,,0,F8NDG10AA801YC01,,,,,,"АР,ДУ",
,,,,Меньше,дискретный,исходящий,=24В,,1,,,,0,F8NDG10AA801YC02,,,,,,"АР,ДУ",
,,,Затвор дисковый К-16 на выходе котловой воды из ВК-8,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F8NDF10AA001XB51,,F8NDF10AA001,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F8NDF10AA001XB52,,,,,,ДУ,
,,,,Превышение момента на открытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F8NDF10AA001XB05,,,,,,ДУ,
,,,,Превышение момента на закрытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F8NDF10AA001XB06,,,,,,ДУ,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,F8NDF10AA001XL01,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F8NDF10AA001XM01,,,,,,ПС,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F8NDF10AA001YB01,,,,,,ДУ,
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F8NDF10AA001YB02,,,,,,ДУ,
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F8NDF10AA001YB03,,,,,,ДУ,н.з.контакт
,АСУ ТП ВК,Система кислотной промывки,,Давление на всасе НКП-1,аналоговый,входящий,4-20мА,,,1,,,0,F0LFM11CP001,-,,-1,25,кгс/см²,,
,,,,Давление на напоре НКП-1,аналоговый,входящий,4-20мА,,,1,,,0,F0LFM11CP002,-,,0,25,кгс/см²,,
,,,,Давление на всасе НКП-2,аналоговый,входящий,4-20мА,,,1,,,0,F0LFM12CP001,-,,-1,25,кгс/см²,,
,,,,Давление на напоре НКП-2,аналоговый,входящий,4-20мА,,,1,,,0,F0LFM12CP002,-,,0,25,кгс/см²,,
,,,,Ток электродвигателя НКП-1,аналоговый,входящий,4-20мА,,,1,,,0,F0LFM01CE012,-,,0,250,А,,
,,,,Ток электродвигателя НКП-2,аналоговый,входящий,4-20мА,,,1,,,0,F0LFM02CE012,-,,0,250,А,,
,,,,"Датчик ""сухого хода"" на напоре НКП-1",дискретный,входящий,?,1,,,,,0,F0LFM11CP151XG02,,F0LFM11CP151,,,,ФГУ,замыкается при понижении
,,,,"Датчик ""сухого хода"" на напоре НКП-2",дискретный,входящий,?,1,,,,,0,F0LFM12CP151XG02,,F0LFM12CP151,,,,ФГУ,замыкается при понижении
,АСУ ТП ВК,Линии отопления,Клапан регулирующий до теплообменников по сети Т21 РТ-70,Открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG24AA801XB51,,F0NDG24AA801,,,,"АР,ДУ",
,,,,Закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG24AA801XB52,,,,,,"АР,ДУ",
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG24AA801XM01,,,,,,ПС,
,,,,Больше,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG24AA801YC01,,,,,,"АР,ДУ",
,,,,Меньше,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG24AA801YC02,,,,,,"АР,ДУ",
,,,Кран запорный бака раствора щелочи 9Д,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GCN01AA001XB51,,F0GCN01AA001,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GCN01AA001XB52,,,,,,ДУ,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GCN01AA001XL01,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GCN01AA001XM01,,,,,,ПС,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0GCN01AA001YB01,,,,,,ДУ,
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0GCN01AA001YB02,,,,,,ДУ,
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0GCN01AA001YB03,,,,,,ДУ,н.з.контакт
,АСУ ТП ВК,Наружный воздух,,Температура наружного воздуха,аналоговый,входящий,4-20мА,,,1,,,0,F0UZK10CT001," =24В, 0,5ВА",,-50,100,°C,,
,,,,Давление до теплообменников по сети Т11,аналоговый,входящий,4-20мА,,,1,,,0,F0NDF15СР001," =24В, 0,5ВА",,0,25,кгс/см²,,
,,,,Температура до теплообменников по сети Т11,аналоговый,входящий,Pt500 (Pt100),,,1,,,0,F0NDF15СТ101," =24В, 0,5ВА",,0,180,°C,,
,,,,Температура Т3 в систему ГВС АБК котельной,аналоговый,входящий,Pt500 (Pt100),,,1,,,0,F0GKB20СТ101," =24В, 0,5ВА",,0,180,°C,,
,,,,Температура В1 от насосной станции,аналоговый,входящий,Pt500 (Pt100),,,1,,,0,F0GKB10СТ101," =24В, 0,5ВА",,0,180,°C,,
,,,,Температура после охладителя выпара,аналоговый,входящий,4-20мА,,,1,,,0,F0GHJ11CT005," =24В, 0,5ВА",,-50,200,°C,,
,,,,Уровень воды бака раствора щелочи,аналоговый,входящий,4-20мА,,,1,,,0,F0GCN01СL001," =24В, 0,3А",,0,2,м,АР,
,,,,Уровень воды бака раствора щелочи,аналоговый,входящий,4-20мА,,,1,,,0,F0GCN01СL002," =24В, 0,3А",,0,2,м,,
,АСУ ТП ВК,Сигналы из АОВ.1,,Температура внутреннего контура теплосети,аналоговый,входящий,50П,,,1,,,0,F0SAH10СT101,,,-50,200,°C,,
,,,,Температура внешнего контура теплосети,аналоговый,входящий,50П,,,1,,,0,F0SAH11СT101,,,-50,200,°C,,
,,,,Давление подпитки теплосети,аналоговый,входящий,4-20мА,,,1,,,0,F0SAH20СP001," =24В, 0,5ВА",,0,10,кгс/см²,,
,,,,Давление рециркуляции теплосети,аналоговый,входящий,4-20мА,,,1,,,0,F0SAH21СP001," =24В, 0,5ВА",,0,10,кгс/см²,,
,,,,"Сигнализация ""сухого хода"" насосов К3 раб, К3 рез",дискретный,входящий,=24В,1,,,,,0,K3XG02,,K3,,,,ФГУ,
,,,,"Сигнализация ""сухого хода"" насосов К4 раб, К4 рез",дискретный,входящий,=24В,1,,,,,0,K4XG02,,K4,,,,ФГУ,
,,,,"Сигнализация ""сухого хода"" насосов К12",дискретный,входящий,=24В,,,,,,,K12XG02,,K12,,,,ФГУ,
,,,Клапан регулирующий К5 по сети Т1 до теплообменника К1 отопления и ГВС,Открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDF24AA801XC01,,F0NDF24AA801,,,,"АР,ДУ",
,,,,Закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDF24AA801XC02,,,,,,"АР,ДУ",
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDF24AA801XM01,,,,,,ПС,
,,,,Больше,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDF24AA801YC01,,,,,,"АР,ДУ",
,,,,Меньше,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDF24AA801YC02,,,,,,"АР,ДУ",
,,,Клапан регулирующий К5а по сети Т1 до теплообменника К1 отопления и ГВС,Открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDF24AA802XC01,,F0NDF24AA802,,,,"АР,ДУ",
,,,,Закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDF24AA802XC02,,,,,,"АР,ДУ",
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDF24AA802XM01,,,,,,ПС,
,,,,Больше,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDF24AA802YC01,,,,,,"АР,ДУ",
,,,,Меньше,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDF24AA802YC02,,,,,,"АР,ДУ",
,,,Клапан регулирующий К6 по сети Т1 до теплообменника К2 вентиляции,Открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDF24AA803XC01,,F0NDF24AA803,,,,"АР,ДУ",
,,,,Закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDF24AA803XC02,,,,,,"АР,ДУ",
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDF24AA803XM01,,,,,,ПС,
,,,,Больше,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDF24AA803YC01,,,,,,"АР,ДУ",
,,,,Меньше,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDF24AA803YC02,,,,,,"АР,ДУ",
,,,Клапан электромагнитный К7 по сети Т94 подпитки контура отопления и ГВС,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG24AA001XM01,,F0NDG24AA001,,,,ПС,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG24AA001YB01,,,,,,,
,,,Клапан электромагнитный К13 на линии заполнения теплоносителя по сети Т21 системы вентиляции,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0SAH21AA001XM01,,F0SAH21AA001,,,,ПС,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0SAH21AA001YB01,,,,,,,
,АСУ ТП ВК,Сборка задвижек здания котельной,,Неисправность шкафа ввода Ш-1 сборки задвижек,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0CDA01GH001XM01,,F0CDA01GH001,,,,ПС,
,АСУ ТП ВК,Шкаф ПТК,,Питание ввода №1 в норме,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,,,,Питание ввода №2 в норме,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,,,,Ввод 1 включен,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,,,,Ввод 2 включен,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,,,,Питание ИБП в норме,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,,,,Питание цепей внешних сигналов включено,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,,,,Питание цепей внутренних сигналов включено,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,,,,Питание датчиков 220В включено,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,,,,Дверь шкафа открыта,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,,Шкаф серверный №1,,Питание ввода №1 в норме,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,,,,Питание ввода №2 в норме,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,,,,Ввод 1 включен,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,,,,Ввод 2 включен,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,,,,Питание ИБП в норме,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,,,,Дверь шкафа открыта,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,,Шкаф серверный №2,,Питание ввода №1 в норме,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,,,,Питание ввода №2 в норме,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,,,,Ввод 1 включен,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,,,,Ввод 2 включен,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,,,,Питание ИБП в норме,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,,,,Дверь шкафа открыта,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,АСУ ТП ВК,Котельная,,Давление газа на входе в котельную,аналоговый,входящий,4-20мА,,,1,,,0,F0EKG10СР001," =24В, 0,5Вт",,0,2.5,кгс/см²,"АР, Р",
,,,,Температура газа на входе в котельную,аналоговый,входящий,4-20мА,,,1,,,0,F0EKG10СТ001," =24В, 0,5Вт",,-50,200.0,°C,"АР, Р",
,,,Задвижка ГК-3,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0EKG10AA001XB51,,F0EKG10AA001,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0EKG10AA001XB52,,,,,,ДУ,
,,,,Превышение момента на открытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0EKG10AA001XB04,,,,,,ДУ,
,,,,Превышение момента на закрытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0EKG10AA001XB05,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0EKG10AA001XM01,,,,,,ПС,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0EKG10AA001XL01,,,,,,ДУ,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0EKG10AA001YB01,,,,,,ДУ,
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0EKG10AA001YB02,,,,,,ДУ,
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0EKG10AA001YB03,,,,,,ДУ,
,,,Затвор дисковый на котлы №1-5,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0EKG10AA002XB51,,F0EKG10AA002,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0EKG10AA002XB52,,,,,,ДУ,
,,,,Превышение момента на открытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0EKG10AA002XB04,,,,,,ДУ,
,,,,Превышение момента на закрытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0EKG10AA002XB05,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0EKG10AA002XM01,,,,,,ПС,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0EKG10AA002XL01,,,,,,ДУ,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0EKG10AA002YB01,,,,,,ДУ,
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0EKG10AA002YB02,,,,,,ДУ,
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0EKG10AA002YB03,,,,,,ДУ,
,,,Затвор дисковый на котлы №6-8,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0EKG10AA003XB51,,F0EKG10AA003,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0EKG10AA003XB52,,,,,,ДУ,
,,,,Превышение момента на открытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0EKG10AA003XB04,,,,,,ДУ,
,,,,Превышение момента на закрытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0EKG10AA003XB05,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0EKG10AA003XM01,,,,,,ПС,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0EKG10AA003XL01,,,,,,ДУ,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0EKG10AA003YB01,,,,,,ДУ,
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0EKG10AA003YB02,,,,,,ДУ,
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0EKG10AA003YB03,,,,,,ДУ,
,АСУ ТП ВК,"система отопления, гвс, вентиляции",,расход      котловой      воды      на теплообменник вентиляции,аналоговый,входящий,4-20мА,,,1,,,0,,,,,,,,
,,,,расход       котловой       воды       с теплообменника вентиляции,аналоговый,входящий,4-20мА,,,1,,,0,,,,,,,,
,,,,температура    котловой    воды    до теплообменника вентиляции,аналоговый,входящий,4-20мА,,,1,,,0,,,,,,,,
,,,,давление     котловой     воды     до теплообменника вентиляции,аналоговый,входящий,4-20мА,,,1,,,0,,,,,,,,
,,,,температура   котловой   воды   после теплообменника вентиляции,аналоговый,входящий,4-20мА,,,1,,,0,,,,,,,,
,,,,давление    котловой    воды    после теплообменника вентиляции,аналоговый,входящий,4-20мА,,,1,,,0,,,,,,,,
,,,,температура    котловой    воды    до теплообменника гвс,аналоговый,входящий,4-20мА,,,1,,,0,,,,,,,,
,,,,температура   котловой   воды   после теплообменника гвс,аналоговый,входящий,4-20мА,,,1,,,0,,,,,,,,
,,,,температура    исходной    воды    до теплообменника гвс,аналоговый,входящий,4-20мА,,,1,,,0,,,,,,,,
,,,,температура   исходной   воды   после теплообменника гвс,аналоговый,входящий,4-20мА,,,1,,,0,,,,,,,,
,,,,температура   исходной   воды   после теплообменника гвс высокая звуковой сигнал,дискретный,исходящий,4-20мА,,1,,,,0,,,,,,,,
,,,,давление      исходной      воды     до теплообменника гвс,аналоговый,входящий,4-20мА,,,1,,,0,,,,,,,,
,,,,давление    исходной    воды    после теплообменника гвс,аналоговый,входящий,4-20мА,,,1,,,0,,,,,,,,
,,,,расход       котловой       воды       с теплообменников отопления и гвс,аналоговый,входящий,4-20мА,,,1,,,0,,,,,,,,
,,,,расход      котловой      воды      на теплообменники отопления и гвс,аналоговый,входящий,4-20мА,,,1,,,0,,,,,,,,
,,,,температура     воды     в     системе отопления,аналоговый,входящий,4-20мА,,,1,,,0,,,,,,,,
,,,,температура    котловой    воды    до теплообменников отопления и гвс,аналоговый,входящий,4-20мА,,,1,,,0,,,,,,,,
,,,,давление     котловой     воды     до теплообменников отопления и гвс,аналоговый,входящий,4-20мА,,,1,,,0,,,,,,,,
,,,,температура   котловой   воды   после теплообменников отопления и гвс,аналоговый,входящий,4-20мА,,,1,,,0,,,,,,,,
,,,,давление    котловой    воды    после теплообменников отопления и гвс,аналоговый,входящий,4-20мА,,,1,,,0,,,,,,,,
,,,,расход  сетевой  воды  на  подпитку контура системы отопления здания,аналоговый,входящий,4-20мА,,,1,,,0,,,,,,,,
,,,,температура   гликоля   в    системе вентиляции,аналоговый,входящий,4-20мА,,,1,,,0,,,,,,,,
,,,насос системы отопления №1,пуск,дискретный,исходящий,=24В,,1,,,,0,,,,,,,,
,,,,стоп,дискретный,исходящий,=24В,,1,,,,0,,,,,,,,
,,,,насос включен,дискретный,входящий,"220В, 50Гц",1,,,,,0,,,,,,,,
,,,,насос отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,,,,,,,,
,,,,работа,дискретный,исходящий,=24В,,1,,,,0,,,,,,,,
,,,,авария насоса,дискретный,входящий,"220В, 50Гц",1,,,,,0,,,,,,,,
,,,,ток электродвигателя,аналоговый,входящий,4-20мА,,,1,,,0,,,,,,,,
,,,,выбор режима авр,аналоговый,входящий,4-20мА,,,1,,,0,,,,,,,,
,,,,работа авр – звуковой сигнал,дискретный,исходящий,=24В,,1,,,,0,,,,,,,,
,,,,режим «работа»,дискретный,входящий,"220В, 50Гц",1,,,,,0,,,,,,,,
,,,,режим «резерв»,дискретный,входящий,"220В, 50Гц",1,,,,,0,,,,,,,,
,,,,режим «ремонт»,дискретный,входящий,"220В, 50Гц",1,,,,,0,,,,,,,,
,,,насос системы отопления №2,пуск,дискретный,исходящий,=24В,,1,,,,0,,,,,,,,
,,,,стоп,дискретный,исходящий,=24В,,1,,,,0,,,,,,,,
,,,,насос включен,дискретный,входящий,"220В, 50Гц",1,,,,,0,,,,,,,,
,,,,насос отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,,,,,,,,
